Vegetation Cover,NO3,NH4,P,K,SO4,B,Organic Matter,pH,Zn,Cu,Fe,Ca,Mg,Na
50.0,3.75,1.5,67.0,13.0,6.0,0.18,0.84,8.0,0.5,0.1,1.0,4.8,0.3,0.08
50.0,9.5,1.5,70.0,14.0,8.0,0.22,0.28,8.0,0.6,0.1,1.0,5.5,0.4,0.06
45.0,4.25,2.75,125.0,15.0,11.0,0.65,0.76,7.9,1.5,0.3,2.0,5.8,0.5,0.09
45.0,24.5,2.75,129.0,19.0,16.0,0.72,0.92,7.8,1.7,0.3,3.0,5.9,0.5,0.11
40.0,2.75,2.25,44.0,11.0,8.0,0.14,0.26,8.4,0.4,0.1,1.0,6.1,0.4,0.08
40.0,14.25,1.75,50.0,9.0,6.0,0.15,0.13,8.4,0.4,0.1,1.0,5.6,0.3,0.06
55.0,34.0,2.75,123.0,23.0,17.0,0.51,2.08,7.7,1.3,0.2,2.0,7.2,0.5,0.11
55.0,23.25,3.0,128.0,15.0,14.0,0.48,0.65,7.8,1.2,0.2,2.0,7.0,0.4,0.09
60.0,9.5,2.75,84.0,18.0,10.0,0.63,0.82,7.9,1.3,0.1,1.0,6.3,0.8,0.13
60.0,11.25,2.25,89.0,14.0,12.0,0.46,0.63,8.0,1.0,0.1,1.0,5.4,0.5,0.15
35.0,14.25,3.0,81.0,18.0,10.0,0.42,0.87,7.9,1.0,0.1,1.0,5.4,0.5,0.14
35.0,28.5,6.75,95.0,16.0,14.0,0.49,0.51,7.8,1.3,0.1,2.0,5.7,0.5,0.12
50.0,24.75,4.75,129.0,20.0,13.0,0.47,0.8,7.8,1.3,0.1,2.0,6.0,0.5,0.11
50.0,23.75,1.75,69.0,16.0,17.0,0.76,1.38,7.7,1.9,0.4,3.0,5.9,0.5,0.1
60.0,7.75,1.0,111.0,17.0,11.0,0.62,0.43,8.1,2.8,0.2,1.0,5.0,0.6,0.21
60.0,16.0,1.0,129.0,16.0,10.0,0.56,0.73,7.9,2.7,0.4,2.0,5.7,0.8,0.08
40.0,7.75,0.75,66.0,13.0,12.0,0.25,0.68,8.0,0.7,0.1,2.0,5.6,0.4,0.04
40.0,8.5,0.75,55.0,11.0,9.0,0.26,0.55,8.0,0.7,0.1,2.0,5.5,0.4,0.04
35.0,16.5,1.25,61.0,21.0,9.0,0.37,0.64,7.8,0.9,0.2,1.0,4.9,0.4,0.12
35.0,8.0,2.25,61.0,7.0,6.0,0.28,0.82,8.0,0.8,0.2,1.0,5.1,0.3,0.1
35.0,3.75,1.25,51.0,5.0,5.0,0.14,0.54,8.2,0.4,0.1,1.0,5.0,0.3,0.09
35.0,14.25,1.0,48.0,6.0,4.0,0.14,0.36,8.2,0.4,0.1,1.0,5.2,0.3,0.07
20.0,14.25,0.25,59.0,5.0,7.0,0.16,0.26,8.1,0.5,0.1,1.0,5.4,0.3,0.04
20.0,7.5,0.75,58.0,7.0,6.0,0.15,0.37,8.3,0.5,0.1,1.0,5.6,0.3,0.03
50.0,6.25,1.0,50.0,5.0,7.0,0.2,0.54,8.1,0.4,0.2,1.0,5.6,0.4,0.04
50.0,12.5,0.75,69.0,7.0,9.0,0.19,0.42,8.0,0.5,0.1,1.0,5.4,0.4,0.03
45.0,12.75,2.0,90.0,9.0,8.0,0.37,0.68,7.9,1.0,0.2,1.0,5.7,0.4,0.05
45.0,6.0,0.75,84.0,14.0,6.0,0.3,1.0,7.9,0.8,0.1,1.0,5.7,0.4,0.06
45.0,2.0,0.75,48.0,8.0,5.0,0.16,0.28,8.3,0.3,0.1,1.0,4.9,0.3,0.09
45.0,5.25,0.75,41.0,8.0,4.0,0.1,0.08,8.4,0.3,0.1,1.0,5.2,0.3,0.08
40.0,8.75,1.5,104.0,10.0,9.0,0.43,0.66,7.8,1.0,0.2,1.0,6.1,0.5,0.11
40.0,20.75,2.5,120.0,16.0,10.0,0.65,0.625,7.6,1.5,0.3,1.0,7.0,0.8,0.1
15.0,5.25,0.75,41.0,5.0,6.0,0.22,0.39,8.2,0.5,0.1,1.0,5.4,0.3,0.08
15.0,34.0,1.0,69.0,13.0,13.0,0.2,0.58,7.9,0.6,0.1,1.0,5.5,0.4,0.03
35.0,14.25,1.0,81.0,14.0,14.0,0.36,0.95,7.7,0.8,0.1,1.0,5.6,0.5,0.07
35.0,23.0,1.0,83.0,12.0,16.0,0.46,0.65,7.8,1.0,0.1,1.0,5.8,0.5,0.06
10.0,37.0,0.75,49.0,11.0,19.0,0.35,0.43,8.2,0.5,0.1,1.0,5.6,0.6,0.26
10.0,16.25,0.75,70.0,10.0,10.0,0.27,0.31,8.3,0.5,0.1,1.0,5.9,0.5,0.23
15.0,21.0,1.25,41.0,7.0,11.0,0.35,0.27,8.3,0.4,0.1,1.0,5.6,0.5,0.12
15.0,46.75,0.75,37.0,11.0,17.0,0.29,0.09,8.1,0.3,0.1,1.0,6.0,0.5,0.07
30.0,27.75,2.25,84.0,11.0,13.0,0.24,0.46,8.0,0.8,0.1,1.0,5.9,0.5,0.13
30.0,26.5,2.75,64.0,11.0,10.0,0.22,0.32,8.1,0.6,0.1,1.0,5.7,0.4,0.05
50.0,8.5,1.75,39.0,6.0,11.0,0.2,0.38,8.4,0.4,0.1,1.0,5.0,0.4,0.12
50.0,3.75,1.25,32.0,6.0,7.0,0.15,0.21,8.4,0.2,0.1,1.0,4.7,0.3,0.04
55.0,14.0,1.75,52.0,11.0,13.0,0.34,0.23,8.3,0.6,0.1,1.0,5.6,0.5,0.18
55.0,39.25,1.75,52.0,12.0,13.0,0.34,0.25,8.1,0.6,0.1,1.0,5.5,0.5,0.08
10.0,6.0,1.75,18.0,13.0,13.0,0.27,0.08,8.4,0.2,0.1,1.0,5.4,0.5,0.33
10.0,4.75,1.75,19.0,7.0,7.0,0.28,0.21,8.6,0.2,0.1,1.0,5.2,0.4,0.07
90.0,72.75,9.25,90.0,121.0,118.0,6.05,1.56,8.1,3.8,0.6,2.0,6.0,3.4,4.8
65.0,154.25,8.75,122.0,164.0,184.0,9.99,3.35,8.0,3.4,0.8,3.0,7.5,5.8,7.2
70.0,102.5,10.25,117.0,66.0,65.0,6.39,2.79,8.2,2.0,1.3,3.0,7.1,3.5,1.91
75.0,82.0,10.25,69.0,51.0,64.0,2.86,1.52,8.2,1.4,0.3,2.0,5.3,2.0,1.41
15.0,210.5,13.25,171.0,150.0,258.0,7.75,2.52,8.0,2.8,0.7,3.0,8.0,4.5,8.22
10.0,156.5,12.25,143.0,92.0,70.0,9.45,3.07,8.0,2.3,0.8,4.0,8.6,4.5,1.73
15.0,158.5,12.75,158.0,118.0,107.0,17.46,4.46,8.0,2.6,0.7,3.0,10.8,6.3,3.76
15.0,95.75,11.25,127.0,34.0,35.0,4.1,2.47,7.8,1.8,0.4,3.0,7.3,2.4,0.45
50.0,58.0,13.25,101.0,38.0,41.0,2.95,3.09,7.7,2.4,0.2,1.0,10.2,3.3,0.67
98.0,223.75,10.5,132.0,58.0,47.0,1.92,2.7,7.6,1.0,0.1,1.0,6.3,1.5,0.48
98.0,285.25,12.75,80.0,63.0,43.0,0.87,1.38,7.5,0.8,0.1,1.0,6.2,0.9,0.34
98.0,633.75,13.25,71.0,131.0,122.0,1.93,1.37,7.7,1.0,0.1,1.0,7.1,1.5,0.49
80.0,227.5,12.0,107.0,47.0,43.0,0.62,0.76,7.7,10.0,0.1,1.0,6.3,0.7,0.24
80.0,240.75,12.25,103.0,54.0,67.0,1.23,2.36,7.6,3.2,0.2,1.0,6.9,0.9,0.48
70.0,286.0,12.25,126.0,93.0,79.0,1.44,1.95,7.5,3.2,0.2,1.0,8.2,1.3,0.6
90.0,408.5,14.25,154.0,129.0,154.0,2.35,3.75,7.4,3.5,0.3,2.0,12.5,1.5,0.74
1.0,20.5,8.75,36.0,17.0,7.0,0.2,0.15,8.7,0.4,0.1,1.0,7.3,0.5,0.14
3.0,3.25,8.25,14.0,15.0,5.0,0.09,0.09,8.5,0.2,0.1,1.0,6.6,0.4,0.1
1.0,3.75,8.25,10.0,15.0,4.0,0.07,0.1,8.6,0.1,0.1,1.0,6.2,0.4,0.12
1.0,4.5,11.5,15.0,12.0,4.0,0.07,0.01,8.6,0.2,0.1,1.0,6.2,0.4,0.12
35.0,10.5,3.0,81.0,18.0,10.0,0.42,0.87,7.9,1.0,0.1,1.0,5.4,0.5,0.14
35.0,28.5,6.75,95.0,16.0,14.0,0.49,0.51,7.8,1.3,0.1,2.0,5.7,0.5,0.12
50.0,24.75,4.75,129.0,20.0,13.0,0.47,0.8,7.8,1.3,0.1,2.0,6.0,0.5,0.11
50.0,23.75,1.75,140.0,16.0,17.0,0.76,1.38,7.7,1.9,0.4,3.0,5.9,0.5,0.1
60.0,7.75,1.0,111.0,17.0,11.0,0.62,0.43,8.1,2.8,0.2,1.0,5.0,0.6,0.21
60.0,16.0,1.0,129.0,16.0,10.0,0.56,0.73,7.9,2.7,0.4,2.0,5.7,0.8,0.08
40.0,7.75,0.75,66.0,13.0,12.0,0.25,0.68,8.0,0.7,0.1,2.0,5.6,0.4,0.04
40.0,8.5,0.75,55.0,11.0,9.0,0.26,0.55,8.0,0.7,0.1,2.0,5.5,0.4,0.04
35.0,16.5,1.25,61.0,21.0,9.0,0.37,0.64,7.8,0.9,0.2,1.0,4.9,0.4,0.12
35.0,8.0,2.25,61.0,7.0,6.0,0.28,0.82,8.0,0.8,0.2,1.0,5.1,0.3,0.1
35.0,3.75,1.25,51.0,5.0,5.0,0.14,0.54,8.2,0.4,0.1,1.0,5.0,0.3,0.09
35.0,3.5,1.0,48.0,6.0,4.0,0.14,0.36,8.2,0.4,0.1,1.0,5.2,0.3,0.07
20.0,14.25,0.25,59.0,5.0,7.0,0.16,0.26,8.1,0.5,0.1,1.0,5.4,0.3,0.04
20.0,7.5,0.75,69.0,7.0,6.0,0.15,0.37,8.3,0.5,0.1,1.0,5.6,0.3,0.03
50.0,3.75,1.25,32.0,6.0,7.0,0.15,0.21,8.4,0.2,0.1,1.0,4.7,0.3,0.04
55.0,14.0,1.75,52.0,11.0,13.0,0.34,0.23,8.3,0.6,0.1,1.0,5.6,0.5,0.18
55.0,39.25,1.75,52.0,12.0,13.0,0.34,0.25,8.1,0.6,0.1,1.0,5.5,0.5,0.08
10.0,6.0,1.75,18.0,13.0,13.0,0.27,0.08,8.4,0.2,0.1,1.0,5.4,0.5,0.33
10.0,4.75,1.75,19.0,7.0,7.0,0.28,0.21,8.6,0.2,0.1,1.0,5.2,0.4,0.07
90.0,72.75,9.25,90.0,121.0,118.0,6.05,1.56,8.1,3.8,0.6,2.0,6.0,3.4,4.8
65.0,154.25,8.75,122.0,164.0,184.0,9.99,3.35,8.0,3.4,0.8,3.0,7.5,5.8,7.2
70.0,102.5,10.25,117.0,66.0,65.0,6.39,2.79,8.2,2.0,1.3,3.0,7.1,3.5,1.91
75.0,82.0,10.25,69.0,51.0,64.0,2.86,1.52,8.2,1.4,0.3,2.0,5.3,2.0,1.41
15.0,210.5,13.25,171.0,150.0,258.0,7.75,2.52,8.0,2.8,0.7,3.0,8.0,4.5,8.22
10.0,156.5,12.25,143.0,92.0,70.0,9.45,3.07,8.0,2.3,0.8,4.0,8.6,4.5,1.73
15.0,158.5,12.75,158.0,118.0,107.0,17.46,4.46,8.0,2.6,0.7,3.0,10.8,6.3,3.76
15.0,95.75,11.25,127.0,34.0,35.0,4.1,2.47,7.8,1.8,0.4,3.0,7.3,2.4,0.45
50.0,58.0,13.25,101.0,38.0,41.0,2.95,3.09,7.7,2.4,0.2,1.0,10.2,3.3,0.67
98.0,223.75,10.5,132.0,58.0,47.0,1.92,2.7,7.6,1.0,0.1,1.0,6.3,1.5,0.48
98.0,285.25,12.75,80.0,63.0,43.0,0.87,1.38,7.5,0.8,0.1,1.0,6.2,0.9,0.34
98.0,633.75,13.25,71.0,131.0,122.0,1.93,1.37,7.7,0.8,0.1,1.0,7.1,1.5,0.49
80.0,227.5,12.0,107.0,47.0,43.0,0.62,0.76,7.7,10.0,0.1,1.0,6.3,0.7,0.24
80.0,240.75,12.25,103.0,54.0,67.0,1.23,2.36,7.6,3.2,0.2,1.0,6.9,0.9,0.48
70.0,286.0,12.25,126.0,93.0,79.0,1.44,1.95,7.5,3.2,0.2,1.0,8.2,1.3,0.6
90.0,408.5,14.25,154.0,129.0,154.0,2.35,3.75,7.4,3.5,0.3,2.0,12.5,1.5,0.74
1.0,20.5,8.75,36.0,17.0,7.0,0.2,0.15,8.7,0.4,0.1,1.0,7.3,0.5,0.14
3.0,3.25,8.25,14.0,15.0,5.0,0.09,0.09,8.5,0.2,0.1,1.0,6.6,0.4,0.1
1.0,14.25,8.25,10.0,15.0,4.0,0.07,0.1,8.6,0.1,0.1,1.0,6.2,0.4,0.12
1.0,4.5,11.5,15.0,12.0,4.0,0.36,0.01,8.6,0.2,0.1,1.0,6.2,0.4,0.12
60.0,7.75,1.0,111.0,17.0,11.0,0.62,0.43,8.1,2.8,0.2,1.0,5.0,0.6,0.21
60.0,16.0,1.0,129.0,16.0,10.0,0.56,0.73,7.9,2.7,0.4,2.0,5.7,0.8,0.08
40.0,7.75,0.75,66.0,13.0,12.0,0.25,0.68,8.0,0.7,0.1,2.0,5.6,0.4,0.04
40.0,8.5,0.75,55.0,11.0,9.0,0.26,0.55,8.0,0.7,0.1,2.0,5.5,0.4,0.04
35.0,16.5,1.25,61.0,21.0,9.0,0.37,0.64,7.8,0.9,0.2,1.0,4.9,0.4,0.12
35.0,8.0,2.25,61.0,7.0,6.0,0.28,0.82,8.0,0.8,0.2,1.0,5.1,0.3,0.1
35.0,3.75,1.25,51.0,14.0,5.0,0.14,0.54,8.2,0.4,0.1,1.0,5.0,0.3,0.09
35.0,3.5,1.0,48.0,6.0,4.0,0.14,0.36,8.2,0.4,0.1,1.0,5.2,0.3,0.07
20.0,14.25,0.25,59.0,5.0,7.0,0.16,0.26,8.1,0.5,0.1,1.0,5.4,0.3,0.04
20.0,7.5,0.75,58.0,7.0,6.0,0.15,0.37,8.3,0.5,0.1,1.0,5.6,0.3,0.03
50.0,14.25,1.0,50.0,5.0,7.0,0.2,0.54,8.1,0.4,0.2,1.0,5.6,0.4,0.04
50.0,12.5,0.75,69.0,7.0,9.0,0.19,0.42,8.0,0.5,0.1,1.0,5.4,0.4,0.03
45.0,12.75,2.0,90.0,9.0,8.0,0.37,0.68,7.9,1.0,0.2,1.0,5.7,0.4,0.05
45.0,6.0,0.75,84.0,12.0,6.0,0.3,1.0,7.9,0.8,0.1,1.0,5.7,0.4,0.06
45.0,2.0,0.75,48.0,8.0,5.0,0.16,0.28,8.3,0.3,0.1,1.0,4.9,0.3,0.09
45.0,5.25,0.75,41.0,8.0,4.0,0.1,0.08,8.4,0.3,0.1,1.0,5.2,0.3,0.08
40.0,8.75,1.5,104.0,10.0,9.0,0.43,0.66,7.8,1.0,0.2,1.0,6.1,0.5,0.11
40.0,20.75,2.5,120.0,16.0,10.0,0.65,1.82,7.6,1.5,0.3,1.0,7.0,0.8,0.1
15.0,5.25,0.75,41.0,5.0,6.0,0.22,0.39,8.2,0.5,0.1,1.0,5.4,0.3,0.08
20.0,7.5,0.75,58.0,7.0,6.0,0.15,0.37,8.3,0.5,0.1,1.0,5.6,0.3,0.03
50.0,3.75,1.25,32.0,6.0,7.0,0.15,0.21,8.4,0.2,0.1,1.0,4.7,0.3,0.04
55.0,14.0,1.75,52.0,11.0,13.0,0.34,0.23,8.3,0.6,0.1,1.0,5.6,0.5,0.18
55.0,39.25,1.75,52.0,12.0,13.0,0.34,0.25,8.1,0.6,0.1,1.0,5.5,0.5,0.08
10.0,6.0,1.75,18.0,13.0,13.0,0.27,0.08,8.4,0.2,0.1,1.0,5.4,0.5,0.33
10.0,4.75,1.75,19.0,7.0,7.0,0.28,0.21,8.6,0.2,0.1,1.0,5.2,0.4,0.07
90.0,72.75,9.25,90.0,121.0,118.0,6.05,1.56,8.1,3.8,0.6,2.0,6.0,3.4,4.8
65.0,154.25,8.75,69.0,164.0,184.0,9.99,3.35,8.0,3.4,0.8,3.0,7.5,5.8,7.2
70.0,102.5,10.25,117.0,66.0,65.0,6.39,2.79,8.2,2.0,1.3,3.0,7.1,3.5,1.91
75.0,82.0,10.25,69.0,51.0,64.0,2.86,1.52,8.2,1.4,0.3,2.0,5.3,2.0,1.41
15.0,210.5,13.25,171.0,150.0,258.0,7.75,2.52,8.0,2.8,0.7,3.0,8.0,4.5,8.22
10.0,156.5,12.25,143.0,92.0,70.0,9.45,3.07,8.0,0.8,0.8,4.0,8.6,4.5,1.73
15.0,158.5,12.75,158.0,118.0,107.0,17.46,4.46,8.0,2.6,0.7,3.0,10.8,6.3,3.76
15.0,95.75,11.25,127.0,34.0,35.0,4.1,2.47,7.8,1.8,0.4,3.0,7.3,2.4,0.45
50.0,58.0,13.25,101.0,38.0,41.0,2.95,3.09,7.7,2.4,0.2,1.0,10.2,3.3,0.67
98.0,223.75,10.5,132.0,58.0,47.0,1.92,2.7,7.6,1.0,0.1,1.0,6.3,1.5,0.48
98.0,285.25,12.75,80.0,63.0,43.0,0.87,1.38,7.5,0.8,0.1,1.0,6.2,0.9,0.34
98.0,633.75,13.25,71.0,131.0,122.0,1.93,1.37,7.7,1.0,0.1,1.0,7.1,1.5,0.49
80.0,227.5,12.0,107.0,47.0,43.0,0.62,0.76,7.7,10.0,0.1,1.0,6.3,0.7,0.24
80.0,240.75,12.25,103.0,54.0,67.0,1.23,2.36,7.6,3.2,0.2,1.0,6.9,0.9,0.48
100.0,23.0,2.25,101.0,32.0,12.0,0.71,0.96,7.8,1.7,0.3,4.0,6.6,0.8,0.12
95.0,6.0,0.75,58.0,10.0,7.0,0.27,0.3,8.2,0.8,0.1,1.0,5.0,0.5,0.07
98.0,7.25,1.0,115.0,8.0,10.0,0.56,0.62,7.9,1.4,0.2,2.0,5.2,0.4,0.04
100.0,21.0,1.25,69.0,30.0,13.0,0.78,1.04,7.9,1.8,0.3,2.0,6.1,0.7,0.1
15.0,1.75,0.5,17.0,4.0,6.0,0.25,0.1,8.8,0.3,0.1,1.0,4.7,0.5,0.1
45.0,2.0,0.75,40.0,8.0,6.0,0.24,0.22,8.3,0.9,0.1,1.0,4.9,0.5,0.09
45.0,1.5,0.25,21.0,12.0,5.0,0.2,0.08,8.7,0.3,0.1,1.0,5.7,0.4,0.08
70.0,14.75,0.75,53.0,12.0,8.0,0.18,0.41,8.3,0.8,0.1,1.0,5.6,0.4,0.07
100.0,12.75,2.0,72.0,15.0,10.0,0.64,0.45,8.0,1.2,0.2,2.0,5.6,0.5,0.08
100.0,18.5,1.75,47.0,21.0,7.0,0.29,0.28,8.3,0.6,0.1,1.0,5.9,0.5,0.11
80.0,6.25,1.25,46.0,17.0,10.0,0.26,0.13,8.5,0.5,0.1,1.0,6.6,0.4,0.09
99.0,7.5,1.0,58.0,13.0,6.0,0.27,0.36,8.1,0.7,0.1,1.0,5.2,0.4,0.04
90.0,2.0,0.75,31.0,12.0,6.0,0.22,0.55,8.7,0.3,0.1,1.0,5.7,0.4,0.05
90.0,3.25,1.25,41.0,10.0,6.0,0.22,0.54,8.6,0.4,0.1,1.0,5.3,0.4,0.07
80.0,2.25,1.5,56.0,7.0,5.0,0.26,0.9,8.6,0.4,0.1,1.0,5.7,0.4,0.05
85.0,4.0,0.75,41.0,4.0,6.0,0.23,0.1,8.7,0.4,0.1,1.0,5.5,0.4,0.04
55.0,9.25,2.25,11.0,10.0,10.0,0.55,0.77,7.9,1.6,0.4,2.0,5.2,0.5,0.08
98.0,22.5,2.0,95.0,13.0,11.0,0.54,0.83,7.7,1.3,0.2,1.0,5.9,0.6,0.1
45.0,8.0,2.0,64.0,7.0,8.0,0.2,0.35,8.1,0.5,0.1,1.0,4.5,0.4,0.04
98.0,16.0,2.0,114.0,17.0,12.0,0.81,1.78,7.8,1.7,0.3,2.0,6.6,0.6,0.11
75.0,11.75,2.0,109.0,12.0,12.0,0.43,0.46,8.0,1.2,0.1,2.0,5.8,0.6,0.06
30.0,0.25,0.75,21.0,6.0,4.0,0.15,0.19,8.7,0.1,0.1,1.0,4.2,0.4,0.06
45.0,2.0,0.75,48.0,8.0,5.0,0.16,0.28,8.3,0.3,0.1,1.0,4.9,0.3,0.09
45.0,5.25,0.75,41.0,8.0,4.0,0.1,0.08,8.4,0.3,0.1,1.0,5.2,0.3,0.08
40.0,8.75,1.5,104.0,10.0,9.0,0.43,0.66,7.8,1.0,0.2,1.0,6.1,0.5,0.11
40.0,20.75,2.5,120.0,16.0,10.0,0.65,1.82,7.6,1.5,0.3,1.0,7.0,0.8,0.1
15.0,5.25,0.75,41.0,5.0,6.0,0.22,0.39,8.2,0.5,0.1,1.0,5.4,0.3,0.08
15.0,34.0,1.0,69.0,13.0,13.0,0.2,0.58,7.9,0.6,0.1,1.0,5.5,0.4,0.03
35.0,40.5,1.0,81.0,14.0,14.0,0.36,0.95,7.7,0.8,0.1,1.0,5.6,0.5,0.07
35.0,23.0,1.0,83.0,12.0,16.0,0.46,0.65,7.8,1.0,0.1,1.0,5.8,0.5,0.06
90.0,3.25,1.25,41.0,10.0,6.0,0.22,0.54,8.6,0.4,0.1,1.0,5.3,0.4,0.07
80.0,2.25,1.5,56.0,7.0,5.0,0.26,0.9,8.6,0.4,0.1,1.0,6.0,0.4,0.05
85.0,4.0,0.75,41.0,4.0,6.0,0.23,0.1,8.7,0.4,0.1,1.0,5.5,0.4,0.04
55.0,9.25,2.25,11.0,10.0,10.0,0.55,0.77,7.9,1.6,0.4,2.0,5.2,0.5,0.08
98.0,22.5,2.0,95.0,13.0,11.0,0.54,0.83,7.7,1.3,0.2,1.0,5.9,0.6,0.1
45.0,8.0,2.0,64.0,7.0,8.0,0.2,0.35,8.1,0.5,0.1,1.0,4.5,0.4,0.04
98.0,16.0,2.0,114.0,17.0,12.0,0.81,1.78,7.8,1.7,0.3,2.0,6.6,0.6,0.1
75.0,11.75,2.0,109.0,12.0,12.0,0.43,0.46,8.0,1.2,0.1,2.0,5.8,0.6,0.06
30.0,0.25,0.75,21.0,6.0,4.0,0.15,0.19,8.7,0.1,0.1,1.0,4.2,0.4,0.06
70.0,6.75,1.5,81.0,9.0,7.0,0.22,0.57,8.1,0.7,0.1,1.0,5.1,0.4,0.04
75.0,36.25,2.25,49.0,15.0,10.0,0.25,0.88,7.7,0.5,0.1,1.0,5.4,0.5,0.05
65.0,154.25,8.75,122.0,164.0,184.0,9.99,3.35,8.0,3.4,0.8,3.0,7.5,5.8,7.2
70.0,102.5,10.25,117.0,66.0,65.0,6.39,2.79,8.0,2.0,1.3,3.0,7.1,3.5,1.91
75.0,82.0,10.25,69.0,51.0,64.0,2.86,1.52,8.2,1.4,0.3,2.0,5.3,2.0,1.41
15.0,210.5,13.25,171.0,150.0,258.0,7.75,2.52,8.0,2.8,0.7,3.0,8.0,4.5,0.1
10.0,156.5,12.25,143.0,92.0,70.0,9.45,3.07,8.0,2.3,0.8,4.0,8.6,4.5,1.73
15.0,158.5,12.75,158.0,118.0,107.0,17.46,4.46,8.0,2.6,0.7,3.0,10.8,6.3,3.76
15.0,95.75,11.25,127.0,34.0,35.0,4.1,2.47,7.8,1.8,0.4,3.0,7.3,2.4,0.45
50.0,58.0,13.25,101.0,38.0,41.0,2.95,3.09,7.7,2.4,0.2,1.0,10.2,3.3,0.67
98.0,223.75,10.5,132.0,58.0,47.0,1.92,2.7,7.6,1.0,0.1,1.0,6.3,1.5,0.48
98.0,285.25,12.75,80.0,63.0,43.0,0.87,1.38,7.5,0.8,0.1,1.0,6.2,0.9,0.34
98.0,633.75,13.25,71.0,131.0,122.0,1.93,1.37,7.7,1.0,0.1,1.0,7.1,1.5,0.49
80.0,227.5,12.0,107.0,47.0,43.0,0.62,0.76,7.7,10.0,0.1,1.0,6.3,0.7,0.24
